age,job,marital,education,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,subscribed
32,technician,married,primary,5719,no,yes,cellular,5,42,235,7,unknown,no
85,technician,married,tertiary,3016,yes,no,telephone,56,30,142,7,other,no
71,retired,married,secondary,2867,yes,yes,unknown,72,24,354,8,unknown,no
28,housemaid,divorced,primary,2944,yes,no,unknown,108,2,13,0,unknown,no
40,housemaid,married,secondary,208,yes,yes,telephone,205,34,188,12,unknown,no
18,technician,married,tertiary,1536,yes,no,cellular,279,42,13,8,unknown,no
59,entrepreneur,single,primary,1979,no,no,cellular,765,21,357,7,unknown,yes
64,technician,married,primary,1644,yes,no,unknown,346,34,236,3,failure,yes
85,housemaid,single,secondary,927,yes,no,cellular,110,32,164,4,failure,no
55,unemployed,single,tertiary,6857,yes,no,cellular,20,30,75,8,unknown,no
19,blue-collar,single,secondary,2399,yes,no,cellular,196,14,372,16,unknown,no
62,admin,divorced,secondary,2673,yes,no,cellular,98,19,226,8,unknown,no
44,housemaid,married,tertiary,-2260,yes,no,cellular,93,30,31,8,unknown,no
94,unemployed,married,secondary,8345,no,yes,cellular,74,41,1,5,unknown,no
78,student,married,tertiary,4070,no,yes,unknown,33,27,352,19,unknown,no
28,unemployed,married,primary,2428,yes,no,cellular,16,16,110,1,failure,no
86,unemployed,married,secondary,6599,no,no,cellular,307,25,249,2,unknown,yes
46,unemployed,married,secondary,-2122,no,no,cellular,36,25,143,10,failure,no
42,unemployed,married,tertiary,-1884,no,yes,cellular,216,24,344,19,unknown,no
71,student,married,secondary,4601,no,no,telephone,233,3,345,2,unknown,no
65,technician,single,secondary,5207,no,yes,cellular,66,24,260,8,unknown,no
63,blue-collar,single,secondary,-4155,no,no,cellular,146,11,143,12,unknown,no
58,unemployed,married,secondary,-1547,yes,no,cellular,223,32,107,19,unknown,no
58,blue-collar,married,secondary,-3133,yes,no,cellular,25,23,335,13,unknown,no
78,technician,single,tertiary,4336,yes,no,cellular,33,12,10,9,unknown,no
28,blue-collar,married,primary,1710,no,yes,cellular,227,39,7,16,unknown,no
61,technician,married,secondary,2805,no,no,cellular,59,21,308,11,unknown,no
49,entrepreneur,married,secondary,-1704,no,no,unknown,20,37,315,11,unknown,no
66,blue-collar,married,tertiary,2213,yes,no,cellular,132,34,207,19,unknown,no
23,retired,married,tertiary,-3220,no,yes,cellular,295,21,6,8,unknown,no
74,retired,single,secondary,3905,yes,no,unknown,65,26,219,11,unknown,no
23,admin,married,tertiary,6836,no,no,cellular,54,36,129,8,unknown,no
64,student,single,tertiary,-5403,yes,no,unknown,41,49,370,10,unknown,no
80,admin,married,tertiary,5570,yes,no,cellular,116,34,354,8,unknown,no
66,housemaid,single,primary,1127,yes,no,cellular,153,9,30,12,unknown,no
