temperature,pressure,vibration,rotation_speed,tool_wear,material_type,operator_exp,shift,humidity,defect
96.8,165.6,0.21,1508,207,steel,junior,morning,40.1,defective
82.9,131.7,8.2,1500,15,steel,junior,morning,37.7,normal
82.1,192.8,7.12,1399,214,aluminum,expert,morning,25.9,defective
77.4,241.3,7.15,1401,31,plastic,senior,night,44.2,normal
73.1,140.3,2.04,1391,114,composite,senior,afternoon,67.3,normal
79.7,187.7,4.16,1458,125,plastic,senior,night,37.1,normal
89.1,248.3,4.41,1429,227,steel,junior,afternoon,72.9,normal
97.8,229.4,5.6,1641,228,aluminum,junior,night,68.1,normal
93.5,206.9,8.82,1681,44,composite,senior,afternoon,79.9,normal
79.3,164.2,5.67,1590,23,steel,senior,morning,63.5,normal
,244.8,7.61,1510,12,aluminum,senior,morning,23.0,normal
85.3,194.4,8.05,1468,4,steel,senior,night,55.6,normal
96.6,132.5,6.64,1416,80,steel,senior,afternoon,38.1,normal
98.2,243.4,5.71,1507,177,plastic,junior,afternoon,76.9,normal
65.5,168.9,7.74,1484,176,steel,senior,night,62.7,normal
98.9,295.4,2.11,1397,288,composite,senior,morning,67.0,defective
69.3,194.5,6.52,1421,185,steel,senior,morning,53.7,normal
87.7,212.7,8.32,1305,161,plastic,junior,afternoon,78.0,normal
64.1,202.8,5.55,1398,30,aluminum,junior,afternoon,30.2,normal
95.2,192.0,6.43,1540,78,steel,junior,afternoon,43.4,normal
81.6,223.8,7.3,1603,282,steel,expert,morning,50.0,defective
91.8,206.0,4.5,1553,186,plastic,junior,night,53.2,normal
82.1,201.8,11.27,1450,26,aluminum,senior,afternoon,66.6,normal
94.7,169.1,2.83,1334,75,steel,senior,afternoon,63.7,normal
68.3,195.5,1.48,1380,195,steel,senior,night,23.3,normal
91.1,164.7,6.63,1544,253,composite,junior,morning,63.4,defective
89.2,212.2,3.98,1541,86,plastic,junior,afternoon,35.7,normal
88.7,210.2,5.56,1435,122,aluminum,senior,morning,45.0,normal
90.1,205.3,5.75,1459,190,steel,senior,afternoon,47.0,normal
96.3,237.3,6.09,1693,254,plastic,senior,night,61.6,normal
94.9,224.1,2.56,1324,211,plastic,expert,night,60.9,normal
,262.6,3.7,1501,220,plastic,junior,afternoon,42.7,defective
86.1,229.5,7.46,1379,283,aluminum,senior,night,68.8,normal
88.6,204.7,4.09,1385,279,plastic,senior,night,27.3,defective
84.3,191.1,4.93,1542,253,steel,expert,afternoon,34.0,normal
86.5,157.6,4.0,1670,277,steel,senior,afternoon,45.5,defective
89.8,241.3,6.1,1562,167,aluminum,senior,morning,33.1,normal
92.6,217.1,4.28,1656,202,steel,senior,morning,75.7,defective
90.7,186.4,8.36,1307,95,aluminum,junior,morning,75.7,normal
93.6,209.3,3.54,1549,215,steel,senior,morning,30.2,normal
104.7,204.1,2.23,1591,267,plastic,junior,night,44.8,defective
82.9,197.3,2.69,1476,103,steel,senior,morning,79.5,normal
