duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,count,srv_count,protocol,intrusion
4.66,127,4589,0,0,0,20,0,1,0,190,309,tcp,normal
3.52,2577,756,0,0,0,10,0,1,2,315,267,tcp,normal
3.68,595,2066,0,0,0,14,0,1,0,149,469,tcp,normal
10.37,4950,2939,0,0,0,24,0,1,0,248,410,icmp,normal
5.68,3770,118,0,0,0,7,0,1,0,272,312,tcp,normal
1.44,3114,3629,0,0,0,28,0,1,0,326,96,udp,normal
0.06,6950,129,0,0,0,26,0,1,0,397,337,tcp,normal
0.3,5131,2029,0,1,0,29,0,1,0,136,114,tcp,normal
20.21,303,28,0,0,0,9,0,0,0,481,249,tcp,normal
6.12,2371,12,0,0,0,24,0,0,0,317,352,tcp,normal
10.71,2386,6494,0,0,0,2,0,0,0,387,502,tcp,normal
26.46,2685,3001,0,0,0,17,0,1,0,111,202,tcp,normal
1.35,241017,697,1,0,0,0,0,0,0,430,467,udp,normal
5.94,3143,918,0,0,0,26,0,1,0,446,262,tcp,normal
7.75,78627,40,0,0,0,23,0,1,0,23,201,tcp,normal
18.42,59,916,0,0,0,23,0,1,0,253,103,tcp,normal
50.7,920,1167,0,0,0,7,0,1,1,136,13,tcp,normal
12.44,1792,396,0,0,0,2,0,1,0,404,505,tcp,normal
10.27,64938,675,0,0,0,0,0,0,1,286,79,tcp,normal
25.3,37,131,0,0,0,24,0,1,1,238,476,tcp,normal
18.16,20672,48,0,0,0,6,0,1,1,203,375,tcp,normal
20.03,8665,1319,0,0,0,21,0,0,0,54,449,tcp,normal
0.03,8721,77,0,0,0,22,0,1,0,404,201,tcp,normal
7.22,1976,2333,0,0,0,21,0,0,0,258,446,udp,normal
15.27,4059,1847,0,0,0,10,0,0,0,98,308,tcp,normal
2.0,2681,7337,0,1,0,3,0,1,0,145,178,tcp,normal
13.92,763,1787,0,0,0,17,0,0,0,271,79,tcp,normal
0.09,17965,393791,0,0,0,10,0,1,0,449,410,tcp,normal
8.56,3494,492,0,0,0,0,0,1,0,495,409,tcp,normal
19.06,618,1959,0,0,0,10,0,1,0,197,458,tcp,normal
5.64,6755,261,0,0,0,8,0,0,0,354,416,tcp,normal
13.45,1953,7189,0,0,0,1,0,1,0,197,252,tcp,normal
7.56,1214,1245,0,0,0,21,0,0,0,104,421,udp,normal
10.42,100,26,0,0,0,23,0,1,0,109,226,udp,normal
7.27,1044,172,0,0,0,22,0,1,3,456,489,tcp,normal
6.46,944,651,0,0,0,24,0,0,1,324,175,tcp,normal
18.43,5470,72,0,0,0,8,0,1,0,299,301,udp,normal
0.97,1380,2648,0,0,0,19,0,0,0,396,189,tcp,normal
8.79,638771,52,0,0,0,13,0,1,2,484,327,tcp,normal
1.22,138,586,0,0,0,14,0,1,0,492,93,tcp,normal
8.27,246,486,0,0,0,8,0,0,0,94,55,tcp,normal
33.13,1012,6582,0,0,0,28,0,1,0,211,161,tcp,normal
0.59,6174,565,0,0,0,14,0,0,0,278,485,tcp,normal
5.48,1548,4789,0,0,0,28,0,0,0,248,116,icmp,normal
16.19,875,1999,0,0,0,27,0,0,0,220,165,tcp,normal
4.62,272,88,0,0,0,9,0,0,0,350,471,icmp,normal
7.35,7030,73050,0,0,0,1,0,1,2,454,478,udp,normal
1.22,707172,7684,0,0,0,14,0,0,0,233,374,udp,normal
2.52,358,130,0,2,0,0,0,1,0,381,191,tcp,normal
11.6,9407,105,0,0,0,11,1,1,0,404,87,tcp,attack
17.64,68757,10035,0,1,0,21,0,1,0,370,276,tcp,normal
10.4,3951,5327,0,0,0,19,0,1,1,399,401,tcp,normal
18.14,5862,3409,0,0,0,3,0,0,0,115,39,tcp,normal
9.31,2537,128,0,0,0,12,0,1,0,264,127,udp,normal
16.62,106915,259,0,0,0,29,0,1,0,293,17,udp,normal
40.68,14707,12105,0,0,0,9,0,1,2,156,182,tcp,normal
0.86,29028,2889,0,0,0,13,0,1,0,267,129,tcp,normal
6.53,2297,203,0,0,0,28,0,1,0,326,477,tcp,normal
2.11,11593,14455,0,0,0,9,0,0,0,256,410,tcp,normal
6.26,2568,48550,0,0,0,10,0,1,0,27,386,udp,normal
6.92,13959,345,0,0,0,14,0,0,0,298,429,tcp,normal
9.73,1322,234,0,0,0,0,0,1,0,331,435,tcp,normal
5.79,30876,18115,0,0,0,21,0,1,0,509,483,tcp,normal
3.93,8860,23943,0,0,0,2,0,1,0,339,268,udp,normal
0.44,1192,22985,0,0,0,6,0,1,0,460,10,tcp,normal
0.35,17163,2040,0,0,0,13,0,1,0,465,13,tcp,normal
1.92,1586,337,0,0,0,16,0,1,0,264,423,udp,normal
5.96,252,5763,0,0,0,7,0,1,0,59,281,tcp,normal
5.4,1701,486,0,0,0,8,0,1,0,117,370,tcp,normal
2.12,1731,432,0,0,0,19,0,0,0,444,37,tcp,normal
17.28,294,1352,0,0,0,20,0,1,0,479,438,tcp,normal
11.5,8087,989,0,0,0,23,0,0,0,318,440,tcp,normal
4.2,6924,343,0,0,0,4,0,0,0,19,320,tcp,normal
15.94,2891,113,0,0,0,25,0,0,0,299,70,udp,normal
45.32,15290,636,0,0,0,19,0,0,1,444,64,tcp,normal
2.81,1436,270,0,0,0,4,0,0,0,435,283,tcp,normal
4.5,152,63,0,0,0,1,0,1,0,84,78,tcp,normal
49.47,812,1374,0,0,0,25,0,1,0,320,182,tcp,normal
1.48,564,1446,0,0,0,17,0,1,0,66,379,udp,normal
0.8,1434,4390,0,0,0,28,0,1,0,326,411,icmp,normal
7.36,3655,1345,0,0,0,0,0,1,0,233,470,tcp,normal
6.32,170519,888,0,0,0,3,0,1,1,475,100,tcp,normal
0.82,137,4292,0,0,0,27,0,1,0,304,263,icmp,normal
3.43,17619,1354,0,0,0,9,0,1,0,402,429,tcp,normal
5.43,400,1785,0,0,0,23,0,0,0,20,365,udp,normal
17.27,7464,3043,0,0,0,25,0,1,0,457,454,tcp,normal
12.3,833,323,0,0,0,25,0,1,0,451,159,udp,normal
24.6,4739,6897,0,0,0,25,0,0,0,40,465,udp,normal
4.04,77942,1085,0,0,0,9,0,0,0,358,455,tcp,normal
3.7,153,813,0,0,0,14,0,1,0,18,269,udp,normal
6.22,5545,6733,0,0,0,17,0,1,0,396,369,udp,normal
0.08,6038,388,0,0,0,13,0,1,0,120,278,tcp,normal
2.32,23082,454,0,2,0,6,0,1,0,496,15,tcp,normal
2.38,3442,2719,0,0,0,11,0,1,0,339,427,tcp,normal
0.63,2922212,1567,0,0,0,7,0,0,0,154,114,icmp,normal
6.07,31839,790373,0,0,0,29,0,1,0,353,351,icmp,normal
23.59,10538,8146,0,0,0,9,0,1,0,289,459,tcp,normal
0.04,6230,9,0,0,0,0,0,1,0,134,85,tcp,normal
9.9,9740,1922,0,0,0,2,0,1,1,374,129,tcp,normal
21.15,3919,27,0,0,0,5,0,0,0,442,299,udp,normal
1.14,3976,478,0,0,0,22,0,0,0,185,471,udp,normal
24.92,143,1559,0,0,0,13,0,1,3,128,63,tcp,normal
17.07,9611,436,0,0,0,15,0,0,0,137,509,tcp,normal
2.42,9406,13,0,0,0,20,0,0,0,394,285,tcp,normal
23.58,6060,1234,0,0,0,22,0,1,0,428,449,tcp,normal
16.3,6371,355,0,0,0,12,0,0,0,181,126,udp,normal
1.18,13640,3957,0,0,0,5,0,1,0,155,348,tcp,normal
17.75,7500,24,0,0,0,6,0,1,0,81,378,tcp,normal
7.81,3551,256,0,0,0,19,0,1,0,180,167,tcp,normal
16.93,5778,5593,0,0,0,28,0,0,0,340,8,tcp,normal
9.61,34947,12,0,0,0,1,0,1,0,192,52,tcp,normal
4.97,56061,2843,0,0,0,23,0,1,0,182,35,tcp,normal
9.19,417,230,0,0,0,16,0,1,0,141,236,icmp,normal
10.11,1359,686,0,0,0,3,0,1,2,159,177,udp,normal
14.53,20026,111,0,0,0,19,0,0,0,234,407,tcp,normal
17.76,9120,585,0,0,0,16,0,0,1,465,210,tcp,normal
10.88,834,135,0,0,0,7,0,0,0,243,180,udp,normal
45.71,3383,94,0,0,0,21,0,1,1,177,384,tcp,normal
15.08,14401,5527,0,0,0,1,0,1,0,203,212,tcp,normal
24.16,138275,837,0,0,0,3,0,0,0,411,136,tcp,normal
3.85,330362,1777,0,0,0,22,0,0,0,13,162,tcp,normal
3.8,78,1253,0,0,0,8,0,1,0,430,467,tcp,normal
4.5,16360,14383,0,0,0,6,0,1,0,51,496,udp,normal
5.79,852,2353,0,0,0,17,0,0,0,506,209,tcp,normal
32.55,29953,3075,0,0,0,13,0,1,3,427,487,udp,normal
0.76,192,4637,0,0,0,0,0,1,1,244,440,tcp,normal
6.9,759,196,0,0,0,9,0,1,0,360,370,tcp,normal
1.76,2103,38383,0,0,0,28,0,0,2,375,192,tcp,normal
16.65,11392,76,0,0,0,6,0,1,0,356,347,icmp,normal
0.32,1420,1970,0,0,0,24,0,0,0,335,82,tcp,normal
6.07,694,1948,0,0,0,17,0,0,1,214,129,tcp,normal
5.02,97,127557,0,0,0,18,0,0,1,473,497,udp,normal
0.97,789,2446,0,0,0,12,0,0,0,19,96,tcp,normal
4.73,11526,234,0,0,0,14,0,1,0,285,84,tcp,normal
16.56,58455,308,0,0,0,19,0,1,0,504,68,udp,normal
1.48,370,448,0,0,0,24,0,0,0,87,168,tcp,normal
41.05,446,1363,0,0,0,6,0,1,2,211,413,tcp,normal
0.6,682,1593,0,0,0,1,0,0,0,451,389,tcp,normal
3.41,2357,2433,0,0,0,19,0,0,0,147,164,tcp,normal
14.91,4391,1156,0,0,0,19,0,0,0,13,409,tcp,normal
4.42,1614,3161,0,0,0,29,0,1,0,97,507,tcp,normal
6.55,126,111,0,0,0,19,0,0,0,344,198,tcp,normal
2.07,51,44,0,0,0,27,0,1,0,38,380,tcp,normal
12.57,1111,9937,0,0,0,25,0,0,0,419,461,tcp,normal
1.98,8641,45,0,0,0,6,0,1,0,33,81,tcp,normal
18.89,3021,919,0,0,0,5,0,0,0,45,158,tcp,normal
7.75,86453,215,0,0,0,17,0,1,0,185,39,tcp,normal
7.94,142,37174,0,0,0,13,0,1,0,49,506,tcp,normal
27.11,3656,47585,0,0,0,10,0,1,0,450,460,tcp,normal
14.83,48489,1125,0,0,0,10,1,0,0,83,24,udp,attack
13.59,1640,589,0,0,0,9,0,0,0,39,4,tcp,normal
19.52,231,662,0,0,0,29,0,1,0,47,3,udp,normal
0.96,13,1614,0,0,0,1,0,1,0,161,462,tcp,normal
12.95,1576,6066,0,0,0,2,0,1,0,347,415,tcp,normal
