word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_free,word_freq_money,capital_run_longest,capital_run_total,is_spam
0.022,0.147,0.426,0.049,0.116,0.013,0.033,0.188,0.068,7,181,ham
0.034,0.128,0.277,0.114,0.0,0.22,0.013,0.215,0.048,2,65,spam
0.07,0.332,0.283,0.009,0.02,0.097,0.107,0.032,0.085,4,447,spam
0.076,0.267,0.211,0.049,0.293,0.091,0.038,0.127,0.159,2,763,spam
0.164,0.144,0.141,0.074,0.217,0.436,0.045,0.072,0.454,2,227,spam
0.157,0.073,0.032,0.016,0.171,0.099,0.231,0.113,0.037,4,703,spam
0.087,0.023,0.08,0.067,0.527,0.264,0.21,0.217,0.081,22,68,spam
0.152,0.079,0.029,0.075,0.21,0.034,0.044,0.032,0.063,1,338,ham
0.021,0.145,0.258,0.089,0.146,0.027,0.002,0.004,0.684,1,227,spam
0.005,0.226,0.035,0.019,0.053,0.073,0.025,0.101,0.166,1,61,ham
0.207,0.156,0.242,0.057,0.516,0.071,0.138,0.078,0.051,8,77,spam
0.008,0.022,0.236,0.018,0.258,0.026,0.017,0.109,0.065,4,134,ham
0.028,0.092,0.123,0.067,0.029,0.12,0.361,0.535,0.028,2,314,spam
0.119,0.04,0.029,0.031,0.314,0.003,0.004,0.246,0.141,9,411,spam
0.053,0.001,0.076,0.046,0.166,0.117,0.042,0.079,0.187,2,201,ham
0.209,0.022,0.077,0.027,0.5,0.061,0.036,0.04,0.335,2,256,spam
0.035,0.012,0.241,0.009,0.754,0.117,0.015,0.193,0.083,0,61,ham
0.001,0.185,0.024,0.01,0.275,0.065,0.148,0.214,0.111,1,270,spam
0.036,0.03,0.353,0.004,0.395,0.379,0.048,0.132,0.059,1,186,ham
0.086,0.034,0.286,0.048,0.017,0.041,0.013,0.048,0.094,2,50,spam
0.047,0.322,0.041,0.094,0.246,0.405,0.024,0.006,0.043,4,600,ham
0.077,0.048,0.254,0.001,0.422,0.007,0.064,0.062,0.134,0,144,spam
0.209,0.001,0.221,0.003,0.206,0.115,0.018,0.122,0.002,1,316,ham
0.244,0.033,0.276,0.031,0.27,0.061,0.106,0.31,0.003,1,149,spam
0.031,0.013,0.042,0.067,0.688,0.173,0.009,0.384,0.126,1,540,spam
0.062,0.011,0.034,0.009,0.066,0.156,0.015,0.107,0.267,1,30,spam
0.08,0.008,0.054,0.016,0.031,0.161,0.008,0.318,0.1,1,158,spam
0.298,0.09,0.091,0.013,0.352,0.01,0.006,1.003,0.13,21,5,spam
0.658,0.021,0.316,0.025,0.519,0.173,0.018,0.252,0.174,5,44,spam
0.027,0.045,0.268,0.013,0.57,0.024,0.355,0.261,0.045,7,66,spam
0.13,0.198,0.519,0.022,0.308,0.003,0.005,0.481,0.011,9,128,spam
0.047,0.055,0.012,0.065,0.537,0.025,0.012,0.083,0.27,6,343,spam
0.001,0.247,0.002,0.047,0.362,0.065,0.016,0.002,0.279,6,126,spam
0.001,0.069,0.24,0.004,0.027,0.136,0.048,0.868,0.058,5,165,spam
0.062,0.051,0.066,0.051,0.431,0.025,0.068,0.135,0.024,5,516,ham
0.067,0.139,0.081,0.032,0.059,0.012,0.07,0.308,0.223,13,283,spam
0.002,0.008,0.158,0.136,0.081,0.104,0.0,0.335,0.123,1,10,spam
0.116,0.009,0.022,0.017,0.151,0.413,0.053,0.101,0.001,2,39,ham
0.035,0.106,0.206,0.065,0.113,0.092,0.05,0.156,0.011,0,8,ham
0.082,0.067,0.079,0.066,0.116,0.117,0.036,0.155,0.409,9,14,spam
0.036,0.156,0.2,0.013,0.056,0.082,0.024,0.05,0.004,3,83,ham
0.018,0.248,0.359,0.117,0.104,0.152,0.08,0.025,0.033,12,260,ham
0.052,0.049,0.038,0.034,0.006,0.372,0.021,0.157,0.08,3,56,spam
0.026,0.091,0.534,0.057,0.192,0.079,0.013,0.026,0.02,3,100,ham
0.077,0.069,0.151,0.008,0.439,0.054,0.019,0.085,0.026,3,100,ham
0.022,0.4,0.513,0.015,0.595,0.197,0.029,0.041,0.044,5,178,ham
0.071,0.178,0.047,0.044,0.515,0.35,0.012,0.245,0.031,7,447,ham
0.017,0.243,0.186,0.019,0.162,0.014,0.047,0.411,0.163,2,818,spam
0.111,0.029,0.103,0.035,0.393,0.086,0.108,0.173,0.069,5,186,spam
0.14,0.148,0.298,0.023,0.102,0.157,0.045,0.106,0.033,1,141,ham
0.012,0.031,0.186,0.051,0.017,0.076,0.03,1.139,0.038,4,229,spam
0.063,0.023,0.136,0.033,0.338,0.053,0.08,0.004,0.004,4,221,ham
0.007,0.289,0.488,0.0,0.314,0.106,0.069,0.073,0.005,11,148,spam
0.091,0.002,0.095,0.052,0.485,0.031,0.023,0.065,0.127,11,267,ham
0.031,0.336,0.05,0.027,0.287,0.043,0.046,0.088,0.012,3,135,ham
0.075,0.016,0.187,0.021,0.051,0.486,0.065,0.052,0.065,0,1129,ham
