CO_sensor,NMHC,NOx,NO2,O3_sensor,temp_C,humidity,abs_humidity,CO_level
1382.6,,226.5,135.2,191.3,21.5,51.7,1.761,8.647
1798.6,230.5,54.7,181.7,990.3,21.2,30.6,1.323,4.758
1525.6,410.1,166.7,119.6,502.7,32.9,71.6,0.623,8.509
367.1,184.0,168.3,134.3,714.7,32.9,68.6,1.576,9.154
1138.4,480.9,278.5,21.0,865.8,22.3,84.5,1.175,9.567
1220.0,,148.3,12.0,1374.0,23.4,41.3,0.561,6.675
1693.8,21.7,140.2,66.7,1095.6,8.0,64.0,1.583,6.687
768.6,,137.6,127.2,726.6,25.9,87.2,1.829,7.847
950.2,81.7,32.6,73.6,568.4,22.2,81.1,1.62,5.142
528.3,126.9,315.0,11.1,475.2,21.7,77.6,1.967,10.647
460.6,345.1,355.4,90.6,1705.4,19.6,81.5,0.736,11.373
1027.1,404.9,412.2,185.0,768.0,30.7,79.1,1.347,13.255
1587.1,104.8,245.1,159.1,1072.4,33.3,46.5,0.639,10.144
1011.5,247.4,1.5,26.5,1293.6,19.2,21.1,1.964,3.988
1019.8,195.0,112.4,98.7,938.5,22.8,89.1,0.823,7.017
493.8,115.8,226.1,80.2,1216.9,13.3,74.2,1.913,7.794
1058.1,230.3,74.9,87.5,762.5,20.3,35.8,1.187,5.696
778.4,267.6,125.0,123.2,1300.6,23.5,72.4,1.69,7.005
818.1,567.7,150.0,87.6,1321.4,4.6,45.5,1.932,5.423
1683.3,491.3,222.4,168.5,570.0,10.3,37.3,0.849,7.314
824.5,411.0,103.4,28.4,842.0,23.1,59.6,1.724,6.37
863.8,104.4,289.5,136.4,1076.7,20.1,20.7,1.834,10.652
1087.5,67.1,,150.2,1028.5,19.7,88.4,1.327,7.796
412.8,242.0,139.5,86.1,904.1,19.0,86.0,1.511,7.736
688.7,206.0,283.4,112.2,1172.8,27.4,75.3,1.165,10.703
283.8,131.4,129.9,215.4,1436.3,25.7,23.7,1.138,6.396
779.8,248.2,386.8,101.6,281.5,14.4,25.2,0.739,11.219
1762.4,57.7,69.6,139.9,611.9,28.6,65.4,1.533,5.782
110.6,,335.5,148.8,354.0,18.0,76.0,0.75,11.291
333.8,319.3,6.2,45.6,1353.3,4.9,23.8,0.773,2.098
1541.6,134.9,109.6,225.3,954.5,21.9,59.5,1.254,6.398
936.3,,297.0,87.9,816.1,6.6,68.9,1.187,7.805
1175.9,298.5,439.4,90.8,802.7,23.2,31.5,1.474,13.28
1038.8,494.8,257.4,132.2,443.4,12.7,32.3,1.283,8.608
1050.9,196.7,294.5,107.9,1048.1,-0.1,85.2,0.973,8.496
862.2,286.6,261.2,82.9,1418.5,20.0,48.1,0.587,9.573
297.8,92.1,152.2,133.1,1159.0,30.7,39.2,1.383,7.808
991.4,289.5,173.3,35.4,662.4,13.8,23.2,1.233,7.958
1439.0,294.6,59.4,175.7,539.0,21.3,22.6,0.621,5.231
1400.7,250.0,88.5,118.4,1092.9,20.0,38.1,1.549,4.492
1232.4,495.9,37.2,129.5,559.8,0.6,63.4,0.882,2.629
958.1,98.3,47.0,82.2,733.0,19.8,62.4,0.551,5.132
1060.6,158.4,426.9,72.9,561.1,22.7,35.8,0.517,13.021
1342.7,437.3,83.9,39.0,987.2,14.5,72.0,1.309,5.741
389.3,91.9,23.8,137.8,402.8,15.2,52.3,1.893,3.494
1721.7,314.2,613.6,19.4,1736.0,15.3,76.0,1.772,15.0
1403.0,,331.1,110.7,598.2,22.9,84.7,0.652,10.758
1739.5,312.7,39.3,74.4,424.0,7.0,36.6,0.977,2.358
1125.0,,54.0,111.0,1670.3,5.0,51.4,0.97,3.834
790.2,120.5,17.7,54.1,630.0,23.5,23.7,1.779,4.253
1185.3,,40.6,162.3,942.9,10.9,73.4,1.7,3.852
1302.2,48.9,63.2,49.3,1426.1,25.6,42.6,1.948,5.956
1770.5,136.1,256.3,43.5,610.6,19.5,65.6,1.281,7.886
882.7,26.6,386.3,83.1,431.7,12.8,46.7,0.521,11.576
834.8,159.2,357.8,55.1,645.3,8.8,30.0,1.853,9.68
1423.8,80.2,367.4,87.3,567.0,-8.6,20.5,0.554,8.212
906.4,598.2,,58.5,1826.4,12.9,64.8,1.748,7.114
759.4,11.0,271.2,111.9,1102.6,18.4,85.4,1.278,7.778
785.2,334.5,236.7,32.1,914.8,20.1,83.2,1.949,9.248
191.8,11.8,185.8,100.2,1021.9,5.1,85.8,0.864,6.182
715.9,149.2,358.2,84.5,533.7,12.6,68.2,1.269,11.247
1168.8,168.8,284.6,51.8,926.7,28.8,50.0,0.52,10.405
997.9,63.1,210.4,41.4,814.9,35.9,56.8,1.401,8.815
1187.7,154.4,63.9,167.3,1091.9,23.5,70.8,0.601,4.96
1530.5,439.3,376.9,35.9,710.7,18.1,40.9,0.598,11.296
