fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality_score
9.25,0.506,0.44,0.68,0.0679,23.7,16.4,0.99736,3.28,0.65,9.8,white,7.5
6.47,0.317,0.2,0.18,0.0778,28.6,27.5,0.9966,3.25,0.83,12.3,red,9.0
5.6,0.445,0.47,1.43,0.0719,0.6,23.3,0.99359,3.12,0.65,12.7,red,7.8
8.44,0.299,0.63,1.24,0.0288,17.3,11.6,0.99415,3.31,1.01,12.9,red,9.0
6.21,0.376,0.21,0.49,0.045,15.4,21.9,0.99647,3.29,0.54,14.3,red,9.0
6.83,0.371,0.4,0.36,0.1309,17.5,38.9,0.99591,3.16,0.58,14.6,red,9.0
9.88,0.187,0.16,5.67,0.1221,25.4,1.1,0.99986,3.5,0.55,13.7,white,9.0
8.62,0.802,0.03,0.18,0.0818,17.3,68.0,0.99984,3.36,0.54,14.1,white,8.5
7.33,0.568,0.29,0.26,0.1316,16.8,39.2,0.9953,3.42,0.75,8.5,red,8.1
7.11,0.406,0.08,0.7,0.0561,20.8,6.0,1.00001,3.19,0.61,10.8,white,8.6
9.36,0.57,0.66,7.64,0.0709,0.1,96.7,1.00023,2.96,0.99,8.7,red,9.0
8.66,0.38,0.38,0.22,0.0699,32.2,32.5,0.99759,3.57,0.7,9.9,red,8.6
6.24,0.049,0.45,4.23,0.0141,14.8,63.4,0.99514,3.34,0.51,10.9,red,9.0
4.99,1.062,0.26,5.57,0.075,31.4,100.6,0.99724,3.36,0.49,14.0,red,8.3
11.5,0.564,0.08,1.19,0.164,6.9,45.4,0.99275,3.36,0.94,11.7,red,9.0
6.22,0.424,0.17,0.87,0.1588,6.3,47.0,0.99582,3.37,0.7,12.6,red,9.0
9.2,0.182,0.32,2.83,0.0925,13.5,93.8,0.99753,3.15,0.88,10.8,red,8.5
10.87,0.261,0.15,3.03,0.0767,16.3,36.8,0.99777,3.16,0.67,12.3,red,9.0
8.55,0.828,0.4,3.79,0.1701,10.6,81.8,0.99611,3.16,0.66,13.7,red,9.0
7.28,0.8,0.41,4.44,0.0754,7.5,44.1,0.99714,3.39,0.89,10.4,red,6.6
5.88,0.666,0.27,0.78,0.0626,19.8,52.1,0.99496,3.13,0.72,14.5,red,9.0
5.85,0.329,0.08,2.9,0.132,31.1,51.6,0.99982,3.08,0.72,9.8,white,9.0
8.94,0.802,0.6,0.36,0.0066,33.3,34.3,0.9999,3.21,0.59,14.4,red,9.0
10.77,0.611,0.23,1.79,0.0818,12.8,28.9,0.99842,3.27,0.81,8.6,white,7.5
7.63,0.648,0.78,2.37,0.0839,4.6,25.0,0.99646,3.3,0.65,11.9,white,9.0
